epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,0.7908610665798187,0.592763220527524,0.8115093374252319,0.6211595540244854,0.7231956499138988
1,0.0001,0.6978058619499207,0.6680690454555265,0.7574826622009277,0.6173228223732347,0.7349424250560715
2,0.0001,0.6450154855251312,0.6976957407337239,0.7162669217586517,0.6630283328670511,0.7689854359987879
3,0.0001,0.6024644285440445,0.70688893006825,0.6474190640449524,0.6912277133923184,0.794137773549604
4,0.0001,0.5655892981290818,0.7246585782104019,0.639962596098582,0.6915874570451774,0.7934383164034339
5,0.0001,0.5287289669513703,0.7407719457340931,0.5951933232943217,0.6797682611896313,0.7856033530426323
6,0.0001,0.4986199644804001,0.7572618526550883,0.6056824374198914,0.671094112573408,0.7719829604302069
7,0.0001,0.4804748936891556,0.7629428029061729,0.5494326766331991,0.7383322793123597,0.831473234610104
8,0.0001,0.4633376519680023,0.7793877420376977,0.5007340411345164,0.7543981389742742,0.8437510046333195
9,0.0001,0.4519439067840576,0.7846994795843428,0.5358867700894674,0.7470116351988229,0.8359477363208268
