epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,1.1215010216866417,0.12218239513723834,1.0654589782408135,1.1322033419880604e-08,1.1322033419880604e-08
1,0.0001,0.8848271863213901,0.3120323847341522,0.775909582274643,0.39993208591716484,0.4841805928408114
2,0.0001,0.7967247195627497,0.38333566734265745,0.696992858270904,0.4246706214214358,0.49968949296607307
3,0.0001,0.7022289277493269,0.4256020553123602,0.646800263143664,0.4789353861133093,0.5431320741961425
4,0.0001,0.687339713518647,0.43798075194951636,0.660729476554909,0.46627905425979926,0.5362620633658025
5,0.0001,0.6458601064380558,0.4528070018184357,0.5809949414813937,0.4970200448458168,0.557798136141024
6,0.0001,0.6269489519897549,0.47144396624802454,0.5564912812194632,0.535566500519675,0.5990625738089468
7,0.0001,0.606520794588944,0.47087096244141724,0.5514174442195413,0.5202346979765963,0.5806729632507819
8,0.0001,0.584045432422353,0.489746636772152,0.5413750763514533,0.5195385952791398,0.5805178607355751
9,0.0001,0.5790493303331835,0.5122090798993975,0.5306030155426293,0.503563624070738,0.5655591269898329
10,0.0001,0.5650706715967463,0.5220231275469065,0.5176732905546025,0.5145306051343274,0.5724822835495748
11,0.0001,0.5557287246331402,0.5411830271899332,0.5224974628668934,0.5194113901921446,0.577426043466505
12,0.0001,0.5468239427983076,0.5292932758033401,0.5372916181482862,0.5176624721302687,0.5763176926047099
13,0.0001,0.5515609722712944,0.5423432706151693,0.5079692470368429,0.5325797648737162,0.5896883692676523
14,0.0001,0.5384828664105514,0.5746255820235854,0.4982845615501979,0.5429484769853223,0.6000326652583774
15,0.0001,0.5296714689539767,0.5827505560862761,0.4928798543747945,0.5318358868222153,0.5867675620553163
16,0.0001,0.5244409363160188,0.5806702312863263,0.49625901660727495,0.5377099122601777,0.5902888131484594
17,0.0001,0.5230369889873198,0.5603662294498669,0.49679372688034673,0.5595307458680298,0.6139989850815933
18,0.0001,0.5156699802683687,0.5645886637293196,0.4868664789439446,0.5377924370288019,0.5933148861751836
19,0.0001,0.5122336883997095,0.6039500634675391,0.48547032760016284,0.5878663028827774,0.6405851533246318
20,0.0001,0.5071936222328537,0.6264864096954171,0.47390115485718504,0.6171731711934212,0.6704635265824844
21,0.0001,0.5000411313155602,0.6315164702176519,0.47460490794637095,0.6162460886887369,0.669238848030221
22,0.0001,0.502990137571576,0.6544057439037326,0.4704270881025036,0.6220550275789294,0.6773058050777234
23,0.0001,0.49622818416562575,0.6334162119744251,0.4731013458877353,0.6392449458627626,0.6925674359485311
24,0.0001,0.4956708523048752,0.638635574832817,0.47638794315520244,0.5755118368849993,0.6294468228454314
25,0.0001,0.48867224910478485,0.6254012265359323,0.4701749390393645,0.6035979026511633,0.6577730423408151
26,0.0001,0.4876095876954068,0.6317632062612791,0.4667358435877603,0.6018118318836413,0.6537450466513116
27,0.0001,0.48587816679614715,0.6556911937530957,0.4693786894256745,0.5883341333836711,0.6396722988025259
28,0.0001,0.48417376547024166,0.6612125818582577,0.4597685215760715,0.631230319075031,0.6836422170213614
29,0.0001,0.48438732000603074,0.6670580918318779,0.4611108033501323,0.6309132976524947,0.6830469824134283
